Major Category,General Category,Specific Category,Summary MET value
01 Personal Care,01 Sleeping,01 Sleeping,0.92
01 Personal Care,01 Sleeping,02 Sleeplessness,1.00
01 Personal Care,01 Sleeping,"99 Sleeping, n.e.c.",0.94
01 Personal Care,02 Grooming,"01 Washing, dressing and grooming oneself",2.10
01 Personal Care,02 Grooming,"99 Grooming, n.e.c.",2.10
01 Personal Care,03 Health-related Self Care,01 Health-related self care,1.29
01 Personal Care,03 Health-related Self Care,"99 Self care, n.e.c.",1.29
01 Personal Care,04 Personal Activities,01 Personal/Private Activities,1.04
01 Personal Care,04 Personal Activities,"99 Personal activities, n.e.c.",1.04
01 Personal Care,05 Personal Care Emergencies,01 Personal emergencies,1.52
01 Personal Care,05 Personal Care Emergencies,"99 Personal care, emergencies, n.e.c.",1.52
02 Household Activities,01 Housework,01 Interior Cleaning,3.01
02 Household Activities,01 Housework,02 Laundry,2.07
02 Household Activities,01 Housework,"03 Sewing, repairing, and maintaining textiles",1.50
02 Household Activities,01 Housework,"04 Storing interior HH items, including food",3.39
02 Household Activities,01 Housework,"99 Housework, n.e.c.",2.51
02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",01 Food and drink preparation,2.16
02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",02 Food presentation,2.38
02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",03 Kitchen and Food Clean-Up,2.54
02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up","99 Food and drink prep, presentation, and clean-up, n.e.c",2.32
02 Household Activities,"03 Interior Maintenance, Repair, and Decoration","01 Interior arrangement, decoration, and repairs",3.33
02 Household Activities,"03 Interior Maintenance, Repair, and Decoration",02 Building and repairing furniture,4.25
02 Household Activities,"03 Interior Maintenance, Repair, and Decoration",03 Heating and cooling,4.42
02 Household Activities,"03 Interior Maintenance, Repair, and Decoration","99 Interior maintenance, repair and decoration, n.e.c.",3.85
02 Household Activities,"04 Exterior Maintenance, Repair and Decoration",01 Exterior Cleaning,3.93
02 Household Activities,"04 Exterior Maintenance, Repair and Decoration","02 Exterior repair, improvements, and decoration",4.75
02 Household Activities,"04 Exterior Maintenance, Repair and Decoration","99 Exterior maintenance, repair and decoration, n.e.c.",4.49
02 Household Activities,"05 Lawn, Garden, and Houseplants","01 Lawn, Garden, and Houseplants",3.66
02 Household Activities,"05 Lawn, Garden, and Houseplants","02 Ponds, pools, and hot tubs",2.64
02 Household Activities,"05 Lawn, Garden, and Houseplants","99 Lawn and garden, n.e.c.",3.45
02 Household Activities,06 Animals and pets,01 Care for animals and pets (not veterinary care),2.72
02 Household Activities,06 Animals and pets,"99 Pet and animal care, n.e.c.",2.72
02 Household Activities,07 Vehicles,01 Vehicle repair and maintenance (by self),2.93
02 Household Activities,07 Vehicles,"99 Vehicles, n.e.c.",2.93
02 Household Activities,08 Appliance and Tools,"01 Appliance and tool set-up, repair, and maintenance (by self)",2.98
02 Household Activities,08 Appliance and Tools,"99 Appliances and tools, n.e.c.",2.98
02 Household Activities,09 HH Management,01 Financial management,1.80
02 Household Activities,09 HH Management,02 HH personal organization and planning,2.11
02 Household Activities,09 HH Management,03 HH and personal mail and messages (except e-mail),1.90
02 Household Activities,09 HH Management,04 HH and personal e-mail and messages,1.80
02 Household Activities,09 HH Management,05 Home Security,2.88
02 Household Activities,09 HH Management,"99 HH management, n.e.c.",2.13
